Instance, Best_Cost
af-synthesis_wt-af-synthesis_stb_50_200_5.wcnf.xz.xz,102
metro_wt-metro_8_8_5_20_10_6_500_1_9.lp.sm-extracted.wcnf.xz.xz,105
MaxSATQueriesinInterpretableClassifiers_wt-ionosphere_test_3_CNF_3_15.wcnf.xz.xz,107
af-synthesis_wt-af-synthesis_stb_50_160_1.wcnf.xz.xz,108
af-synthesis_wt-af-synthesis_stb_50_140_7.wcnf.xz.xz,109
metro_wt-metro_8_8_5_20_10_6_500_1_5.lp.sm-extracted.wcnf.xz.xz,110
af-synthesis_wt-af-synthesis_stb_50_40_0.wcnf.xz.xz,111
af-synthesis_wt-af-synthesis_stb_50_160_5.wcnf.xz.xz,113
af-synthesis_wt-af-synthesis_stb_50_160_9.wcnf.xz.xz,113
af-synthesis_wt-af-synthesis_stb_50_120_5.wcnf.xz.xz,114
af-synthesis_wt-af-synthesis_stb_50_40_6.wcnf.xz.xz,115
preference_planning_wt-WCNF_pathways_p07.wcnf.xz.xz,115
af-synthesis_wt-af-synthesis_stb_50_20_4.wcnf.xz.xz,117
af-synthesis_wt-af-synthesis_stb_50_40_8.wcnf.xz.xz,117
preference_planning_wt-WCNF_pathways_p11.wcnf.xz.xz,118
af-synthesis_wt-af-synthesis_stb_50_140_0.wcnf.xz.xz,120
af-synthesis_wt-af-synthesis_stb_50_20_8.wcnf.xz.xz,120
frb_wt-frb15-9-1.wcnf.xz.xz,120
frb_wt-frb15-9-4.wcnf.xz.xz,120
af-synthesis_wt-af-synthesis_stb_50_100_4.wcnf.xz.xz,123
af-synthesis_wt-af-synthesis_stb_50_200_0.wcnf.xz.xz,124
max-realizability_wt-power-distribution_11_5.wcnf.xz.xz,126
max-realizability_wt-power-distribution_11_6.wcnf.xz.xz,126
max-realizability_wt-power-distribution_11_7.wcnf.xz.xz,126
af-synthesis_wt-af-synthesis_stb_50_140_1.wcnf.xz.xz,127
preference_planning_wt-WCNF_pathways_p10.wcnf.xz.xz,129
metro_wt-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted.wcnf.xz.xz,138
relational-inference_wt-pa-2.wcnf.xz.xz,143
MaxSATQueriesinInterpretableClassifiers_wt-wdbc_train_0_DNF_1_5.wcnf.xz.xz,144
MaxSATQueriesinInterpretableClassifiers_wt-parkinsons_train_3_CNF_2_20.wcnf.xz.xz,148
pseudoBoolean_wt-normalized-factor-size=9-P=149-Q=163.opb.wcnf.xz.xz,149
pseudoBoolean_wt-normalized-factor-size=9-P=149-Q=167.opb.wcnf.xz.xz,149
pseudoBoolean_wt-normalized-factor-size=9-P=157-Q=181.opb.wcnf.xz.xz,157
protein_ins_wt-1vii_.1cph_.g.wcnf.t.wcnf.xz.xz,165
MaxSATQueriesinInterpretableClassifiers_wt-heart_train_1_CNF_3_5.wcnf.xz.xz,171
synplicate-AutoTaxi-run3-ms_0_86_0.85_erm.wcnf.xz.xz,171
preference_planning_wt-WCNF_storage_p06.wcnf.xz.xz,173
synplicate-AutoTaxi-run3-ms_0_80_0.89_erm.wcnf.xz.xz,173
setcover_wt-rail507.wcnf.xz.xz,174
planning_wt-bwt3cc.wcsp.wcnf.xz.xz,177
metro_wt-inst22.lp.sm-extracted.wcnf.xz.xz,180
setcover_wt-rail516.wcnf.xz.xz,182
synplicate-AutoTaxi-run1-ms_0_80_0.9099099099099099_erm.wcnf.xz.xz,184
MaxSATQueriesinInterpretableClassifiers_wt-heart_train_8_CNF_2_5.wcnf.xz.xz,188
preference_planning_wt-WCNF_pathways_p12.wcnf.xz.xz,188
relational-inference_wt-pa-3.wcnf.xz.xz,192
rna-alignment_wt-random-same-10.rna.pre.wcnf.xz.xz,198
frb_wt-frb20-11-1.wcnf.xz.xz,200
frb_wt-frb20-11-2.wcnf.xz.xz,200
frb_wt-frb20-11-3.wcnf.xz.xz,200
frb_wt-frb20-11-5.wcnf.xz.xz,200
synplicate-AutoTaxi-run2-ms_0_59_0.9429429429429429_erm.wcnf.xz.xz,201
synplicate-AutoTaxi-run2-ms_0_50_0.9429429429429429_erm.wcnf.xz.xz,210
setcover_wt-rail582.wcnf.xz.xz,211
pseudoBoolean_wt-normalized-factor-size=9-P=223-Q=307.opb.wcnf.xz.xz,223
rna-alignment_wt-random-same-25.rna.pre.wcnf.xz.xz,224
preference_planning_wt-WCNF_pathways_p18.wcnf.xz.xz,228
mpmcs_wt-test4--n-2500.wcnf.xz.xz,238
synplicate-BankLoan-run3-ms_0_71_0.8465753424657534_erm.wcnf.xz.xz,243
MaxSATQueriesinInterpretableClassifiers_wt-titanic_test_9_CNF_4_10.wcnf.xz.xz,245
preference_planning_wt-WCNF_pathways_p20.wcnf.xz.xz,247
synplicate-AutoTaxi-run2-ms_0_20_0.9429429429429429_erm.wcnf.xz.xz,256
preference_planning_wt-WCNF_pathways_p16.wcnf.xz.xz,257
synplicate-BankLoan-run4-ms_0_59_0.9325657894736842_erm.wcnf.xz.xz,257
spot5_wt-5.wcsp.dir.wcnf.xz.xz,261
MaxSATQueriesinInterpretableClassifiers_wt-ilpd_test_9_DNF_2_15.wcnf.xz.xz,264
pseudoBoolean_wt-normalized-factor-size=9-P=283-Q=293.opb.wcnf.xz.xz,283
planning_wt-mprime01bc.wcsp.wcnf.xz.xz,284
synplicate-TheoremProver-run3-ms_0_74_0.8488188976377953_erm.wcnf.xz.xz,284
synplicate-TheoremProver-run2-ms_0_68_0.8658227848101265_erm.wcnf.xz.xz,289
synplicate-TheoremProver-run1-ms_0_92_0.8272727272727273_erm.wcnf.xz.xz,297
frb_wt-frb25-13-2.wcnf.xz.xz,300
synplicate-TheoremProver-run3-ms_0_53_0.8771653543307086_erm.wcnf.xz.xz,305
rna-alignment_wt-random-same-22.rna.pre.wcnf.xz.xz,309
synplicate-TheoremProver-run2-ms_0_47_0.8962025316455696_erm.wcnf.xz.xz,310
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_5_ms_0_25_0_erm.wcnf.xz.xz,311
synplicate-AutoTaxi-run4-ms_0_60_0.9569230769230769_erm.wcnf.xz.xz,317
ramsey_wt-ram_k3_n11.ra1.wcnf.xz.xz,318
planning_wt-mprime03c.wcsp.wcnf.xz.xz,320
synplicate-TheoremProver-run2-ms_0_35_0.8962025316455696_erm.wcnf.xz.xz,322
warehouses_wt-warehouse0.wcsp.wcnf.xz.xz,328
pseudoBoolean_wt-normalized-factor-size=9-P=331-Q=379.opb.wcnf.xz.xz,331
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_6_ms_0_25_0_erm.wcnf.xz.xz,336
pseudoBoolean_wt-normalized-factor-size=9-P=353-Q=479.opb.wcnf.xz.xz,353
lisbon-wedding_wt-lisbon-wedding-10-17.wcnf.xz.xz,377
lisbon-wedding_wt-lisbon-wedding-9-17.wcnf.xz.xz,394
lisbon-wedding_wt-lisbon-wedding-9-18.wcnf.xz.xz,395
synplicate_new-synplicate_synthetic_dag_run2_11_size_10_ms_26_50_0_erm.wcnf.xz.xz,400
frb_wt-frb30-15-1.wcnf.xz.xz,420
frb_wt-frb30-15-3.wcnf.xz.xz,420
pseudoBoolean_wt-normalized-factor-size=9-P=421-Q=449.opb.wcnf.xz.xz,421
judgment-aggregation-ja-kemeny-preflib-00049-00000107.wcnf.xz.xz,423
rna-alignment_wt-random-dif-19.rna.pre.wcnf.xz.xz,432
judgment-aggregation-ja-kemeny-preflib-00043-00000180.wcnf.xz.xz,433
pseudoBoolean_wt-normalized-factor-size=9-P=439-Q=509.opb.wcnf.xz.xz,439
rna-alignment_wt-k50-22-58.rna.pre.wcnf.xz.xz,484
judgment-aggregation-ja-kemeny-preflib-00049-00000405.wcnf.xz.xz,504
rna-alignment_wt-k50-37-46.rna.pre.wcnf.xz.xz,519
ramsey_wt-ram_k3_n12.ra1.wcnf.xz.xz,524
judgment-aggregation-ja-kemeny-preflib-00049-00000334.wcnf.xz.xz,542
judgment-aggregation-ja-kemeny-preflib-00051-00000007.wcnf.xz.xz,545
judgment-aggregation-ja-kemeny-preflib-00049-00000468.wcnf.xz.xz,548
judgment-aggregation-ja-kemeny-preflib-00049-00000353.wcnf.xz.xz,554
frb_wt-frb35-17-2.wcnf.xz.xz,560
frb_wt-frb35-17-3.wcnf.xz.xz,560
rna-alignment_wt-random-same-12.rna.pre.wcnf.xz.xz,597
rna-alignment_wt-random-dif-13.rna.pre.wcnf.xz.xz,604
judgment-aggregation-ja-kemeny-preflib-00049-00000454.wcnf.xz.xz,631
judgment-aggregation-ja-kemeny-preflib-00051-00000009.wcnf.xz.xz,633
judgment-aggregation-ja-kemeny-preflib-00049-00000377.wcnf.xz.xz,647
haplotyping-pedigrees_wt-ped3.D.recomb10-0.20-15.wcnf.xz.xz,689
judgment-aggregation-ja-kemeny-preflib-00051-00000011.wcnf.xz.xz,694
frb_wt-frb40-19-3.wcnf.xz.xz,720
frb_wt-frb40-19-4.wcnf.xz.xz,720
rna-alignment_wt-random-dif-5.rna.pre.wcnf.xz.xz,730
planning_wt-zenotravel02cc.wcsp.dir.wcnf.xz.xz,742
judgment-aggregation-ja-kemeny-preflib-00049-00000300.wcnf.xz.xz,776
judgment-aggregation-ja-kemeny-preflib-00049-00000287.wcnf.xz.xz,782
rna-alignment_wt-random-dif-12.rna.pre.wcnf.xz.xz,785
judgment-aggregation-ja-kemeny-preflib-00049-00000614.wcnf.xz.xz,792
mpmcs_wt-test24--n-5000.wcnf.xz.xz,793
drmx-cryptogen_wt-geffe128_1.wcnf.xz.xz,800
drmx-cryptogen_wt-geffe128_2.wcnf.xz.xz,800
drmx-cryptogen_wt-geffe128_3.wcnf.xz.xz,800
drmx-cryptogen_wt-geffe128_8.wcnf.xz.xz,800
drmx-cryptogen_wt-geffe128_9.wcnf.xz.xz,800
drmx-cryptogen_wt-threshold128_0.wcnf.xz.xz,800
drmx-cryptogen_wt-threshold128_1.wcnf.xz.xz,800
drmx-cryptogen_wt-threshold128_2.wcnf.xz.xz,800
drmx-cryptogen_wt-threshold128_6.wcnf.xz.xz,800
drmx-cryptogen_wt-threshold128_8.wcnf.xz.xz,800
planning_wt-bwt5c.wcsp.wcnf.xz.xz,800
lisbon-wedding_wt-lisbon-wedding-5-17.wcnf.xz.xz,802
lisbon-wedding_wt-lisbon-wedding-4-18.wcnf.xz.xz,803
lisbon-wedding_wt-lisbon-wedding-5-19.wcnf.xz.xz,805
relational-inference_wt-pa-1.wcnf.xz.xz,820
planning_wt-bwt5cc.wcsp.wcnf.xz.xz,866
judgment-aggregation-ja-kemeny-preflib-00049-00000451.wcnf.xz.xz,928
planning_wt-driverlog09.wcsp.wcnf.xz.xz,960
lisbon-wedding_wt-lisbon-wedding-1-18.wcnf.xz.xz,961
planning_wt-driverlog01cc.wcsp.dir.wcnf.xz.xz,1106
planning_wt-driverlog01cc.wcsp.wcnf.xz.xz,1117
protein_ins_wt-6ebx_.1era_.g.wcnf.t.wcnf.xz.xz,1646
rna-alignment_wt-k100-13-40.rna.pre.wcnf.xz.xz,1723
protein_ins_wt-3ebx_.6ebx_.g.wcnf.t.wcnf.xz.xz,1740
rna-alignment_wt-k100-44-65.rna.pre.wcnf.xz.xz,1759
protein_ins_wt-1knt_.2knt_.g.wcnf.t.wcnf.xz.xz,1767
rna-alignment_wt-k100-33-71.rna.pre.wcnf.xz.xz,1813
rna-alignment_wt-k100-40-52.rna.pre.wcnf.xz.xz,1861
rna-alignment_wt-k100-14-38.rna.pre.wcnf.xz.xz,1953
protein_ins_wt-2knt_.5pti_.g.wcnf.t.wcnf.xz.xz,2156
protein_ins_wt-1knt_.5pti_.g.wcnf.t.wcnf.xz.xz,2208
tcp_wt-tcp_students_91_it_14.wcnf.xz.xz,2208
planning_wt-driverlog08c.wcsp.wcnf.xz.xz,2220
protein_ins_wt-sandiaprotein.g.wcnf.t.wcnf.xz.xz,2248
protein_ins_wt-1bpi_.2knt_.g.wcnf.t.wcnf.xz.xz,2407
protein_ins_wt-p1.wcnf.t.wcnf.xz.xz,2407
haplotyping-pedigrees_wt-ped3.F.recomb10-0.20-13.wcnf.xz.xz,2412
protein_ins_wt-1knt_.1bpi_.g.wcnf.t.wcnf.xz.xz,2464
planning_wt-zenotravel02c.wcsp.dir.wcnf.xz.xz,2485
protein_ins_wt-3ebx_.1era_.g.wcnf.t.wcnf.xz.xz,2517
planning_wt-driverlog05cc.wcsp.dir.wcnf.xz.xz,2659
tcp_wt-tcp_students_98_it_11.wcnf.xz.xz,2694
tcp_wt-tcp_students_98_it_8.wcnf.xz.xz,2727
tcp_wt-tcp_students_91_it_13.wcnf.xz.xz,2730
tcp_wt-tcp_students_91_it_11.wcnf.xz.xz,2766
tcp_wt-tcp_students_91_it_6.wcnf.xz.xz,2877
protein_ins_wt-1bpi_.5pti_.g.wcnf.t.wcnf.xz.xz,2974
tcp_wt-tcp_students_98_it_12.wcnf.xz.xz,2994
tcp_wt-tcp_students_91_it_8.wcnf.xz.xz,3177
railway-transport_wt-bf2030fvcons.wcnf.xz.xz,3271
tcp_wt-tcp_students_98_it_7.wcnf.xz.xz,3363
tcp_wt-tcp_students_112_it_5.wcnf.xz.xz,3366
tcp_wt-tcp_students_112_it_7.wcnf.xz.xz,3513
tcp_wt-tcp_students_112_it_8.wcnf.xz.xz,3552
tcp_wt-tcp_students_112_it_10.wcnf.xz.xz,3624
tcp_wt-tcp_students_112_it_14.wcnf.xz.xz,3663
planning_wt-zenotravel04bc.wcsp.wcnf.xz.xz,4110
railway-transport_wt-f2030.wcnf.xz.xz,4195
abstraction-refinement_wt-downcast-pmd.wcnf.xz.xz,4227
planning_wt-logistics01cc.wcsp.wcnf.xz.xz,4282
mpmcs_wt-test9--n-2500.wcnf.xz.xz,4301
haplotyping-pedigrees_wt-ped2.G.recomb1-0.20-14.wcnf.xz.xz,5267
relational-inference_wt-rc-2.wcnf.xz.xz,5722
relational-inference_wt-rc-3.wcnf.xz.xz,5722
mpmcs_wt-test56--n-7500.wcnf.xz.xz,7545
CSG_wt-CSG60-60-88.wcnf.xz.xz,7714
mpmcs_wt-test5--n-2500.wcnf.xz.xz,7879
spot5_wt-29.wcsp.dir.wcnf.xz.xz,8059
spot5_wt-29.wcsp.log.wcnf.xz.xz,8059
CSG_wt-CSG40-40-95.wcnf.xz.xz,8847
planning_wt-logistics01c.wcsp.wcnf.xz.xz,8865
drmx-cryptogen_wt-wolfram72_0.wcnf.xz.xz,9288
drmx-cryptogen_wt-wolfram72_1.wcnf.xz.xz,9288
drmx-cryptogen_wt-wolfram72_6.wcnf.xz.xz,9288
CSG_wt-CSGNaive60-60-53.wcnf.xz.xz,9829
MaxSATQueriesinInterpretableClassifiers_wt-adult_test_2_CNF_2_5.wcnf.xz.xz,10962
CSG_wt-CSGNaive70-70-91.wcnf.xz.xz,11177
drmx-cryptogen_wt-wolfram80_7.wcnf.xz.xz,11440
drmx-cryptogen_wt-wolfram80_8.wcnf.xz.xz,11440
css-refactoring_wt-archlinux.dimacs.wcnf.xz.xz,11744
haplotyping-pedigrees_wt-ped3.G.recomb10-0.20-14.wcnf.xz.xz,11990
mpmcs_wt-test60--n-7500.wcnf.xz.xz,14066
haplotyping-pedigrees_wt-ped3.G.recomb10-0.10-9.wcnf.xz.xz,15407
haplotyping-pedigrees_wt-ped3.G.recomb10-0.01-1.wcnf.xz.xz,15748
haplotyping-pedigrees_wt-ped3.G.recomb10-0.01-2.wcnf.xz.xz,16784
CSG_wt-CSG140-140-46.wcnf.xz.xz,16960
CSG_wt-CSGNaive140-140-0.wcnf.xz.xz,18185
mpe_wt-random-net-20-3_network-7.net.wcnf.xz.xz,19031
mpe_wt-random-net-20-5_network-3.net.wcnf.xz.xz,19569
css-refactoring_wt-dblp.dimacs.wcnf.xz.xz,25014
haplotyping-pedigrees_wt-ped2.G.recomb5-0.01-5.wcnf.xz.xz,25054
relational-inference_wt-ar-1.wcnf.xz.xz,25062
mpe_wt-random-net-30-3_network-8.net.wcnf.xz.xz,26361
spot5_wt-507.wcsp.dir.wcnf.xz.xz,27390
spot5_wt-507.wcsp.log.wcnf.xz.xz,27390
CSG_wt-CSG150-150-55.wcnf.xz.xz,27533
spot5_wt-1502.wcsp.log.wcnf.xz.xz,28042
mpe_wt-random-net-30-5_network-4.net.wcnf.xz.xz,28151
abstraction-refinement_wt-downcast-hsqldb.wcnf.xz.xz,30207
CSG_wt-CSGNaive150-150-55.wcnf.xz.xz,30495
haplotyping-pedigrees_wt-ped2.G.recomb5-0.01-3.wcnf.xz.xz,31442
MaxSATQueriesinInterpretableClassifiers_wt-compas_train_2_CNF_3_15.wcnf.xz.xz,31514
spot5_wt-509.wcsp.dir.wcnf.xz.xz,36446
spot5_wt-414.wcsp.dir.wcnf.xz.xz,38478
spot5_wt-414.wcsp.log.wcnf.xz.xz,38478
haplotyping-pedigrees_wt-ped2.G.recomb10-0.20-13.wcnf.xz.xz,40755
css-refactoring_wt-wikipedia.dimacs.wcnf.xz.xz,42676
auctions_wt-cat_paths_60_70_0007.txt.wcnf.xz.xz,43384
relational-inference_wt-ar-3.wcnf.xz.xz,43814
css-refactoring_wt-facebook1.dimacs.wcnf.xz.xz,45581
abstraction-refinement_wt-downcast-avrora.wcnf.xz.xz,46642
haplotyping-pedigrees_wt-ped2.G.recomb10-0.01-3.wcnf.xz.xz,47737
haplotyping-pedigrees_wt-ped2.G.recomb10-0.10-9.wcnf.xz.xz,47741
mpe_wt-random-net-60-3_network-7.net.wcnf.xz.xz,51691
abstraction-refinement_wt-polysite-avrora.wcnf.xz.xz,51801
CSG_wt-CSG140-140-6.wcnf.xz.xz,52385
haplotyping-pedigrees_wt-ped2.G.recomb10-0.20-12.wcnf.xz.xz,54713
mpe_wt-random-net-60-2_network-2.net.wcnf.xz.xz,55787
haplotyping-pedigrees_wt-ped2.G.recomb10-0.10-8.wcnf.xz.xz,55874
auctions_wt-cat_sched_60_100_0005.txt.wcnf.xz.xz,56308
CSG_wt-CSGNaive140-140-6.wcnf.xz.xz,56309
auctions_wt-cat_sched_60_70_0003.txt.wcnf.xz.xz,61169
auctions_wt-cat_paths_60_90_0005.txt.wcnf.xz.xz,63761
abstraction-refinement_wt-downcast-xalan.wcnf.xz.xz,65491
css-refactoring_wt-openstreetmap.dimacs.wcnf.xz.xz,65915
mpe_wt-random-net-80-2_network-3.net.wcnf.xz.xz,70391
css-refactoring_wt-londonist.dimacs.wcnf.xz.xz,70703
auctions_wt-cat_sched_60_190_0001.txt.wcnf.xz.xz,71645
auctions_wt-cat_sched_60_160_0001.txt.wcnf.xz.xz,72012
abstraction-refinement_wt-downcast-antlr.wcnf.xz.xz,76250
mpe_wt-random-net-100-2_network-1.net.wcnf.xz.xz,87174
auctions_wt-cat_sched_60_190_0002.txt.wcnf.xz.xz,90463
mpe_wt-random-net-100-2_network-10.net.wcnf.xz.xz,91062
causal-discovery_wt-causal_Bands_6_277.wcnf.xz.xz,91349
auctions_wt-cat_paths_60_150_0004.txt.wcnf.xz.xz,93389
auctions_wt-cat_sched_60_90_0000.txt.wcnf.xz.xz,96833
causal-discovery_wt-causal_Horse.23_7_300.wcnf.xz.xz,98964
mpe_wt-random-net-120-1_network-4.net.wcnf.xz.xz,103641
auctions_wt-cat_reg_60_200_0005.txt.wcnf.xz.xz,104732
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.1_9.wcnf.xz.xz,107667
mpe_wt-random-net-120-1_network-7.net.wcnf.xz.xz,109277
mpe_wt-random-net-120-1_network-9.net.wcnf.xz.xz,109910
auctions_wt-cat_reg_60_150_0004.txt.wcnf.xz.xz,113503
css-refactoring_wt-amazon.dimacs.wcnf.xz.xz,113575
