Instance,Best-cost
lisbon-wedding-8-18.wcnf,396
lisbon-wedding-8-19.wcnf,399
lisbon-wedding-9-17.wcnf,394
log.1401.wcsp.log.wcnf,459106
log.1405.wcsp.log.wcnf,459424
log.28.wcsp.log.wcnf,270105
log.408.wcsp.log.wcnf,6228
log.505.wcsp.log.wcnf,21253
log.8.wcsp.log.wcnf,2
londonist.dimacs.wcnf,70703
metro_8_8_5_20_10_6_500_1_0.lp.sm-extracted.wcnf,82
metro_8_8_5_20_10_6_500_1_7.lp.sm-extracted.wcnf,89
metro_8_8_5_20_10_6_500_1_9.lp.sm-extracted.wcnf,105
metro_9_8_7_22_10_6_500_1_1.lp.sm-extracted.wcnf,52
metro_9_8_7_22_10_6_500_1_2.lp.sm-extracted.wcnf,60
metro_9_8_7_22_10_6_500_1_3.lp.sm-extracted.wcnf,44
metro_9_8_7_30_10_6_500_1_5.lp.sm-extracted.wcnf,47
metro_9_8_7_30_10_6_500_1_6.lp.sm-extracted.wcnf,31
metro_9_8_7_30_10_6_500_1_7.lp.sm-extracted.wcnf,47
metro_9_8_7_30_10_6_500_1_8.lp.sm-extracted.wcnf,55
metro_9_9_10_35_13_7_500_2_2.lp.sm-extracted.wcnf,32
metro_9_9_10_35_13_7_500_2_6.lp.sm-extracted.wcnf,15
metro_9_9_10_35_13_7_500_2_7.lp.sm-extracted.wcnf,37
MinWidthCB_milan_100_12_1k_1s_2t_3.wcnf,109520
MinWidthCB_milan_200_12_1k_4s_1t_4.wcnf,108863
MinWidthCB_mitdbsample_100_43_1k_2s_2t_2.wcnf,38570
MinWidthCB_mitdbsample_100_64_1k_2s_1t_2.wcnf,66045
MinWidthCB_mitdbsample_200_43_1k_2s_2t_2.wcnf,50615
MinWidthCB_mitdbsample_200_64_1k_10s_2t_12.wcnf,58625
MinWidthCB_mitdbsample_200_64_1k_10s_3t_12.wcnf,54585
MinWidthCB_mitdbsample_200_64_1k_2s_1t_2.wcnf,78400
MinWidthCB_mitdbsample_200_64_1k_2s_3t_2.wcnf,73730
MinWidthCB_mitdbsample_300_26_1k_3s_2t_3.wcnf,32420
MinWidthCB_mitdbsample_300_26_1k_3s_2t_5.wcnf,30100
MinWidthCB_mitdbsample_300_26_1k_6s_1t_8.wcnf,31195
MinWidthCB_mitdbsample_300_64_1k_3s_1t_5.wcnf,79270
MinWidthCB_mitdbsample_300_64_1k_6s_1t_8.wcnf,75240
MinWidthCB_power_1000_24_1k_20s_2t_22.wcnf,75967
MinWidthCB_power_600_24_1k_6s_1t_8.wcnf,82282
MLI.ilpd_train_0_DNF_5_5.wcnf,700
mul.role_domino_multiple_0.8_5.wcnf,181758
mul.role_domino_multiple_1.0_4.wcnf,229869
mul.role_smallcomp_multiple_0.3_6.wcnf,139251
mul.role_smallcomp_multiple_0.9_7.wcnf,456398
mul.role_smallcomp_multiple_1.0_6.wcnf,295598
mul.role_university_multiple_0.1_0.wcnf,60675
openstreetmap.dimacs.wcnf,65915
pa-1.wcnf,820
pa-2.wcnf,143
pa-3.wcnf,192
pac.80cfe9a6-9b1b-11df-965e-00163e46d37a_l1.wcnf,1924238
pac.fa3d0fb2-db9e-11df-a0ec-00163e3d3b7c_l1.wcnf,4569599
pac.rand179_l1.wcnf,493118
pac.rand892_l1.wcnf,224702
pac.rand984_l1.wcnf,345082
ped2.B.recomb1-0.01-2.wcnf,7
ped2.B.recomb1-0.10-7.wcnf,588
ped2.B.recomb1-0.20-13.wcnf,7
ped2.G.recomb10-0.20-11.wcnf,50061
ped2.G.recomb10-0.20-13.wcnf,40755
ped2.G.recomb5-0.01-1.wcnf,29116
ped2.G.recomb5-0.01-3.wcnf,31442
ped2.G.recomb5-0.10-7.wcnf,25626
ped2.G.recomb5-0.10-9.wcnf,31445
ped2.G.recomb5-0.20-13.wcnf,30286
ped3.D.recomb10-0.20-12.wcnf,349
ped3.D.recomb10-0.20-14.wcnf,7
ped3.E.recomb10-0.20-13.wcnf,8559
ped3.F.recomb10-0.20-14.wcnf,5482
ped3.G.recomb10-0.20-12.wcnf,13027
polysite-avrora.wcnf,51801
polysite-hsqldb.wcnf,172382
polysite-lusearch.wcnf,421456
polysite-pmd.wcnf,188398
polysite-xalan.wcnf,114620
portfoliovqe_4_18_rigetti-agave_8.wcnf,33
power-distribution_1_2.wcnf,3
power-distribution_1_4.wcnf,3
power-distribution_1_6.wcnf,3
power-distribution_1_8.wcnf,3
power-distribution_11_6.wcnf,126
power-distribution_12_2.wcnf,216
power-distribution_12_5.wcnf,216
power-distribution_12_8.wcnf,216
power-distribution_2_2.wcnf,10
power-distribution_2_8.wcnf,10
power-distribution_3_4.wcnf,1
power-distribution_4_8.wcnf,6
power-distribution_7_6.wcnf,18
power-distribution_8_4.wcnf,40
power-distribution_8_7.wcnf,40
power-distribution_9_2.wcnf,18
pri.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_6.wcnf,189
pri.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3.wcnf,100
qaoa_4_16_ibmq-casablanca_7.wcnf,12
qft_5_26_ibmq-casablanca_7.wcnf,15
qftentangled_4_21_ibmq-casablanca_7.wcnf,15
qftentangled_4_39_rigetti-agave_8.wcnf,18
qftentangled_5_30_ibmq-london_5.wcnf,27
qftentangled_5_48_rigetti-agave_8.wcnf,24
qgan_6_15_ibmq-casablanca_7.wcnf,24
qpeexact_5_26_ibmq-casablanca_7.wcnf,15
qwalk-v-chain_3_30_ibmq-casablanca_7.wcnf,30
qwalk-v-chain_5_102_ibmq-london_5.wcnf,81
r11.wcnf,48181889
rail2536.wcnf,689
rail4284.wcnf,1280
rail4872.wcnf,1784
rail507.wcnf,174
rail516.wcnf,182
rail582.wcnf,211
ram_k3_n14.ra1.wcnf,3025
ram_k3_n16.ra1.wcnf,7271
ram_k3_n17.ra1.wcnf,10372
ram_k4_n20.ra1.wcnf,3078
ran-scp.scp41_weighted.wcnf,429
ran-scp.scp410_weighted.wcnf,514
ran-scp.scp48_weighted.wcnf,492
ran-scp.scp49_weighted.wcnf,641
ran-scp.scp51_weighted.wcnf,253
ran-scp.scp54_weighted.wcnf,242
ran-scp.scp56_weighted.wcnf,213
ran-scp.scp58_weighted.wcnf,288
ran-scp.scp65_weighted.wcnf,161
ran-scp.scpnre5_weighted.wcnf,28
ran-scp.scpnrf1_weighted.wcnf,14
ran-scp.scpnrf4_weighted.wcnf,14
ran-scp.scpnrf5_weighted.wcnf,13
ran-scp.scpnrg3_weighted.wcnf,167
ran-scp.scpnrg4_weighted.wcnf,168
ran-scp.scpnrh5_weighted.wcnf,55
ran.max_cut_60_420_2.asc.wcnf,703
ran.max_cut_60_420_5.asc.wcnf,715
ran.max_cut_60_420_9.asc.wcnf,674
ran.max_cut_60_500_2.asc.wcnf,900
ran.max_cut_60_560_3.asc.wcnf,1054
ran.max_cut_60_560_7.asc.wcnf,1053
ran.max_cut_60_600_1.asc.wcnf,1156
ran.max_cut_60_600_9.asc.wcnf,1149
random-dif-16.rna.pre.wcnf,768
random-dif-2.rna.pre.wcnf,929
random-dif-25.rna.pre.wcnf,512
random-dif-9.rna.pre.wcnf,456
random-net-100-1_network-3.net.wcnf,91570
random-net-120-1_network-5.net.wcnf,117198
random-net-20-5_network-4.net.wcnf,19602
random-net-220-1_network-7.net.wcnf,203783
random-net-240-1_network-7.net.wcnf,219252
random-net-260-1_network-4.net.wcnf,238131
random-net-30-3_network-2.net.wcnf,27606
random-net-30-4_network-3.net.wcnf,24925
random-net-40-2_network-8.net.wcnf,38289
random-net-40-2_network-9.net.wcnf,35951
random-net-40-3_network-5.net.wcnf,35488
random-net-40-4_network-2.net.wcnf,36427
random-net-50-3_network-5.net.wcnf,41356
random-net-50-4_network-8.net.wcnf,43243
random-net-50-5_network-8.net.wcnf,46708
random-net-60-3_network-3.net.wcnf,50929
random-same-12.rna.pre.wcnf,597
random-same-19.rna.pre.wcnf,337
random-same-25.rna.pre.wcnf,224
random-same-5.rna.pre.wcnf,456
rc-2.wcnf,5722
rc-3.wcnf,5722
realamprandom_4_72_rigetti-agave_8.wcnf,36
rgg_n_2_24_s0.wcnf,34467385
role_domino_0.05_15.wcnf,25082
role_domino_0.1_18.wcnf,42049
role_domino_0.1_3.wcnf,42464
role_domino_0.3_15.wcnf,101449
role_domino_0.6_2.wcnf,169308
role_domino_0.9_0.wcnf,199498
role_smallcomp_0.7_11.wcnf,333834
role_smallcomp_0.75_8.wcnf,348219
role_smallcomp_0.85_4.wcnf,369639
role_smallcomp_0.85_7.wcnf,369639
role_university_0.15_8.wcnf,98246
role_university_0.25_3.wcnf,142304
role_university_0.25_8.wcnf,139179
role_university_0.5_3.wcnf,207903
role_university_0.75_7.wcnf,212493
role_university_1.0_2.wcnf,207160
Rounded_BTWBNSL_adult15N_TWBound_2.wcnf,35193743264
Rounded_BTWBNSL_asia_100_1_3.scores_TWBound_2.wcnf,24564427
Rounded_BTWBNSL_asia_100_1_3.scores_TWBound_3.wcnf,24564427
Rounded_BTWBNSL_asia_10000_1_3.scores_TWBound_2.wcnf,2247208255
Rounded_BTWBNSL_Flag.BIC_TWBound_4.wcnf,275431681
Rounded_BTWBNSL_hailfinder_100_1_3.scores_TWBound_2.wcnf,602126938
Rounded_BTWBNSL_hailfinder_100_1_3.scores_TWBound_3.wcnf,601946991
Rounded_BTWBNSL_hailfinder_10000_1_3.scores_TWBound_4.wcnf,49927755584
Rounded_BTWBNSL_Heart.BIC_TWBound_2.wcnf,239742296
Rounded_BTWBNSL_Housing_TWBound_2.wcnf,330364683
Rounded_BTWBNSL_insurance_100_1_3.scores_TWBound_2.wcnf,170760179
Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_2.wcnf,1389279780
Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_3.wcnf,1388734978
Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_4.wcnf,1388734978
Rounded_BTWBNSL_Voting_TWBound_4.wcnf,464263033
Rounded_BTWBNSL_Water_1000_1_2.scores_TWBound_4.wcnf,1326306453
Rounded_CorrelationClustering_Ecoli_BINARY_N240_D0.200.wcnf,17428696
Rounded_CorrelationClustering_Ionosphere_BINARY_N200_D0.200.wcnf,4604640
Rounded_CorrelationClustering_Ionosphere_BINARY_N280_D0.200.wcnf,7196920
Rounded_CorrelationClustering_Orl_BINARY_N320_D0.200.wcnf,4429109
Rounded_CorrelationClustering_Protein1_BINARY_N360.wcnf,27536228
Rounded_CorrelationClustering_Protein2_BINARY_N220.wcnf,13727551
Rounded_CorrelationClustering_Protein2_BINARY_N380.wcnf,36725121
Rounded_CorrelationClustering_Protein2_BINARY_N400.wcnf,39856439
Rounded_CorrelationClustering_Protein2_TRANSITIVE_N200.wcnf,12682853
Rounded_CorrelationClustering_Protein2_UNARY_N100.wcnf,3913145
Rounded_CorrelationClustering_Protein3_TRANSITIVE_N200.wcnf,12826525
Rounded_CorrelationClustering_Protein3_TRANSITIVE_N240.wcnf,15173042
Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280.wcnf,19642136
Rounded_CorrelationClustering_Protein4_TRANSITIVE_N230.wcnf,5567863
Rounded_CorrelationClustering_Protein4_UNARY_N230.wcnf,5567863
Rounded_CorrelationClustering_Protein4_UNARY_N250.wcnf,7581560
sc-rel9.wcnf,11255538
simNo_1-s_15-m_50-n_50-fp_0.0001-fn_0.20.wcnf,11501657324586
simNo_1-s_5-m_100-n_500-fp_0.0001-fn_0.05.wcnf,600282750277737
simNo_10-s_15-m_100-n_100-fp_0.0001-fn_0.20.wcnf,82981983123459
simNo_10-s_15-m_100-n_50-fp_0.01-fn_0.20.wcnf,84803002848794
simNo_2-s_5-m_100-n_100-fp_0.0001-fn_0.05.wcnf,99635408482313
simNo_2-s_5-m_100-n_500-fp_0.01-fn_0.05.wcnf,877214109995358
simNo_3-s_5-m_50-n_50-fp_0.0001-fn_0.05.wcnf,18938961942919
simNo_5-s_15-m_100-n_100-fp_0.0001-fn_0.20.wcnf,113321765415159
simNo_5-s_15-m_100-n_500-fp_0.0001-fn_0.05.wcnf,333774338659545
simNo_6-s_15-m_100-n_50-fp_0.01-fn_0.05.wcnf,60142712649443
simNo_6-s_5-m_100-n_50-fp_0.01-fn_0.05.wcnf,90981027155327
simNo_7-s_5-m_100-n_100-fp_0.0001-fn_0.20.wcnf,311429490634944
simNo_8-s_5-m_100-n_100-fp_0.0001-fn_0.05.wcnf,74156301822200
simNo_8-s_5-m_100-n_100-fp_0.0001-fn_0.20.wcnf,166147813008927
simNo_9-s_5-m_100-n_100-fp_0.0001-fn_0.05.wcnf,131749300472480
simNo_9-s_5-m_300-n_300-fp_0.0001-fn_0.20.wcnf,1440148752519381
soc-livejournal-user-groups.wcnf,86146884
socfb-uci-uni.wcnf,UNKNOWN
su2random_4_18_ibmq-casablanca_7.wcnf,24
su2random_5_30_ibmq-london_5.wcnf,51
SwitchingActivityMaximization_OpenRISC1200_100.wcnf,22
SwitchingActivityMaximization_OpenRISC1200_150.wcnf,74
SwitchingActivityMaximization_OpenRISC1200_200.wcnf,89
SwitchingActivityMaximization_OpenRISC1200_66.wcnf,2
SwitchingActivityMaximization_OpenRISC1200_70.wcnf,6
SwitchingActivityMaximization_OpenRISC1200_74.wcnf,10
SwitchingActivityMaximization_OpenRISC1200_80.wcnf,16
SwitchingActivityMaximization_OpenRISC1200_90.wcnf,16
tcp_students_105_it_13.wcnf,3360
tcp_students_105_it_15.wcnf,3258
tcp_students_105_it_7.wcnf,3024
tcp_students_112_it_1.wcnf,3513
tcp_students_112_it_15.wcnf,3585
tcp_students_112_it_3.wcnf,2916
tcp_students_112_it_5.wcnf,3366
tcp_students_112_it_7.wcnf,3513
tcp_students_91_it_13.wcnf,2730
tcp_students_91_it_2.wcnf,3024
tcp_students_91_it_3.wcnf,2430
tcp_students_91_it_6.wcnf,2877
tcp_students_91_it_7.wcnf,2505
tcp_students_98_it_12.wcnf,2994
tcp_students_98_it_8.wcnf,2727
tcp_students_98_it_9.wcnf,2469
test1--n-5000.wcnf,20
test18--n-5000.wcnf,22
test2--n-5000.wcnf,3
test2.wcnf,16
test25--n-10000.wcnf,4
test34--n-10000.wcnf,3
test4.wcnf,176
test41--n-15000.wcnf,5
test42--n-15000.wcnf,2
test5--n-5000.wcnf,2
test53--n-15000.wcnf,10
test54--n-15000.wcnf,45
test66--n-20000.wcnf,1
test67--n-20000.wcnf,1
test70--n-20000.wcnf,5
test75--n-20000.wcnf,5
test9--n-5000.wcnf,2
tic.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_6.wcnf,496
Udine2.lp.sm-extracted.wcnf,4
up-.mancoosi-test-i10d0u98-11.wcnf,1780771
up-.mancoosi-test-i10d0u98-16.wcnf,1780806
up-.mancoosi-test-i20d0u98-9.wcnf,1780788
up-.mancoosi-test-i30d0u98-3.wcnf,1780860
